Ranking,song,artist,is_in_features,spotify_id,popularity,duration_ms,album,release_date,spotify_uri
30,DTMF,Bad Bunny,False,3sK8wGT43QFpWrvNQsrQya,970,2371170,DeBÍ TiRAR MáS FOToS,2025-01-05,spotify:track:3sK8wGT43QFpWrvNQsrQya
31,Abracadabra,Lady Gaga,True,5ZLUm9eab8y3tqQ1OhQSHI,930,2233980,Abracadabra,2025-02-03,spotify:track:5ZLUm9eab8y3tqQ1OhQSHI
32,Stargazing,Myles Smith,True,3Vr3zh0r7ALn8VLqCiRR10,860,1725330,Stargazing,2024-05-10,spotify:track:3Vr3zh0r7ALn8VLqCiRR10
33,Who,Jimin,True,7tI8dRuH2Yc6RuoTjxo4dU,890,1708870,MUSE,2024-07-19,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU
34,Bed Chem,Sabrina Carpenter,False,1UHS8Rf6h5Ar3CDWRd3wjF,870,1718690,Short n' Sweet,2024-08-23,spotify:track:1UHS8Rf6h5Ar3CDWRd3wjF
35,Liar,Jelly Roll,True,0llPOBVoJYDAtdmVlNE41A,770,2049330,Beautifully Broken,2024-10-10,spotify:track:0llPOBVoJYDAtdmVlNE41A
36,Please Please Please,Sabrina Carpenter,False,2tHwzyyOLoWSFqYNjeVMzj,850,1863650,Short n' Sweet,2024-08-23,spotify:track:2tHwzyyOLoWSFqYNjeVMzj
37,Peekaboo,Kendrick Lamar Featuring AzChike,True,2Uts1QFB4u2YNIMiqcb4de,870,1559170,GNX,2024-11-22 00:00:00,spotify:track:2Uts1QFB4u2YNIMiqcb4de
38,Sailor Song,Gigi Perez,True,2262bWmqomIaJXwCRHr13j,930,2119780,Sailor Song,2024-07-26,spotify:track:2262bWmqomIaJXwCRHr13j
39,Baile Inolvidable,Bad Bunny,True,2lTm559tuIvatlT1u0JYG2,950,3677250,DeBÍ TiRAR MáS FOToS,2025-01-05,spotify:track:2lTm559tuIvatlT1u0JYG2
40,High Road,Koe Wetzel & Jessie Murph,False,1FhgmMvNlh3nJ1Ldc2eE6H,740,1794130,9 Lives,2024-07-19,spotify:track:1FhgmMvNlh3nJ1Ldc2eE6H
41,No One Noticed,The Marias,False,3siwsiaEoU4Kuuc9WKMUy5,880,2369060,Submarine,2024-05-31,spotify:track:3siwsiaEoU4Kuuc9WKMUy5
42,BMF,SZA,False,3U3hFkMr0Q90pD24EkE3Pr,880,1807460,SOS Deluxe: LANA,2024-12-20,spotify:track:3U3hFkMr0Q90pD24EkE3Pr
43,I Know Love,Tate McRae Featauring The Kid LAROI,True,4xvEn1vhrF9JbPFWqTXsH4,820,1562220,So Close To What,2025-02-21 00:00:00,spotify:track:4xvEn1vhrF9JbPFWqTXsH4
44,Dear God,Tate McRae,True,2ETQsbiuGm2WLOSOr2I19A,810,1710140,So Close To What,2025-02-21,spotify:track:2ETQsbiuGm2WLOSOr2I19A
45,Wildflower,Billie Eilish,True,3QaPy1KgI7nu9FJEQUgn6h,940,2614660,HIT ME HARD AND SOFT,2024-05-17,spotify:track:3QaPy1KgI7nu9FJEQUgn6h
46,I Never Lie,Zach Top,False,3t6gUcGYLrUuqwpXjOFWQc,810,2249060,Cold Beer & Country Music,2024-04-05,spotify:track:3t6gUcGYLrUuqwpXjOFWQc
47,Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne",True,3tFed7YsjGnIfxeLEQwx3R,880,2559150,CHROMAKOPIA,2024-10-28 00:00:00,spotify:track:3tFed7YsjGnIfxeLEQwx3R
48,Smile,Morgan Wallen,True,3MJ6lFNV12FSHAOzTzkwxz,810,2241270,Smile,2024-12-31,spotify:track:3MJ6lFNV12FSHAOzTzkwxz
